Filename,Class_ID,Subject_ID,Num_points
n15.txt,N,15,3197
o1.txt,O,1,2222
o2.txt,O,2,2778
o3.txt,O,3,3124
o4.txt,O,4,1924
o5.txt,O,5,2499
o6.txt,O,6,3745
o7.txt,O,7,2996
o8.txt,O,8,2405
o9.txt,O,9,2187
o10.txt,O,10,2481
o11.txt,O,11,2308
o12.txt,O,12,2335
o13.txt,O,13,3084
o14.txt,O,14,3185
o15.txt,O,15,3981
p1.txt,P,1,1324
p2.txt,P,2,2162
p3.txt,P,3,2930
p4.txt,P,4,1521
p5.txt,P,5,3368
p6.txt,P,6,4013
p7.txt,P,7,3060
p8.txt,P,8,1834
p9.txt,P,9,3142
p10.txt,P,10,2823
p11.txt,P,11,2657
p12.txt,P,12,2961
p13.txt,P,13,3387
p14.txt,P,14,3241
p15.txt,P,15,3747
r1.txt,R,1,1752
r2.txt,R,2,2723
r3.txt,R,3,2553
r4.txt,R,4,2190
r5.txt,R,5,3404
r6.txt,R,6,2609
r7.txt,R,7,1807
r8.txt,R,8,2259
r9.txt,R,9,3479
r10.txt,R,10,3154
r11.txt,R,11,1992
r12.txt,R,12,3175
r13.txt,R,13,3103
r14.txt,R,14,3794
r15.txt,R,15,3009
s1.txt,S,1,2242
s2.txt,S,2,2623
s3.txt,S,3,2788
s4.txt,S,4,2039
s5.txt,S,5,2230
s6.txt,S,6,3979
s7.txt,S,7,2954
s8.txt,S,8,2383
s9.txt,S,9,2390
s10.txt,S,10,2860
s11.txt,S,11,2347
s12.txt,S,12,2756
s13.txt,S,13,3732
s14.txt,S,14,2205
s15.txt,S,15,3888
t1.txt,T,1,1597
t2.txt,T,2,2748
t3.txt,T,3,2683
t4.txt,T,4,2344
t5.txt,T,5,2302
t6.txt,T,6,4277
t7.txt,T,7,3295
t8.txt,T,8,2815
t9.txt,T,9,2678
t10.txt,T,10,2477
t11.txt,T,11,2050
t12.txt,T,12,2478
t13.txt,T,13,3559
t14.txt,T,14,2948
t15.txt,T,15,3685
u1.txt,U,1,1851
u2.txt,U,2,1849
u3.txt,U,3,2734
u4.txt,U,4,2089
u5.txt,U,5,5662
u6.txt,U,6,7078
u7.txt,U,7,3417
u8.txt,U,8,2613
u9.txt,U,9,2090
u10.txt,U,10,3399
u11.txt,U,11,3163
u12.txt,U,12,2530
u13.txt,U,13,3631
u14.txt,U,14,2972
u15.txt,U,15,3715
v1.txt,V,1,2516
v2.txt,V,2,3145
v3.txt,V,3,3342
v4.txt,V,4,2674
v5.txt,V,5,4630
v6.txt,V,6,3896
v7.txt,V,7,3117
v8.txt,V,8,2394
v9.txt,V,9,2339
v10.txt,V,10,3302
v11.txt,V,11,2992
v12.txt,V,12,3390
v13.txt,V,13,3470
v14.txt,V,14,4276
v15.txt,V,15,3704
w1.txt,W,1,1899
w2.txt,W,2,3706
w3.txt,W,3,3862
w4.txt,W,4,3159
w5.txt,W,5,4951
w6.txt,W,6,6589
w7.txt,W,7,4100
w8.txt,W,8,5620
w9.txt,W,9,3308
w10.txt,W,10,3671
w11.txt,W,11,3432
w12.txt,W,12,3768
w13.txt,W,13,3865
w14.txt,W,14,4490
w15.txt,W,15,4434
y1.txt,Y,1,2385
y2.txt,Y,2,2981
y3.txt,Y,3,3363
y4.txt,Y,4,2609
y5.txt,Y,5,3365
y6.txt,Y,6,5374
y7.txt,Y,7,3331
y8.txt,Y,8,1874
y9.txt,Y,9,2856
y10.txt,Y,10,2690
y11.txt,Y,11,2559
y12.txt,Y,12,2087
y13.txt,Y,13,4299
y14.txt,Y,14,2692
y15.txt,Y,15,2665
